Week,Bin,Code,Treat,video,Arena,Fish_ID,Sex,Mark,Size,Camera,Stimulus,Day,Tank,Group_ID,Trial,MeanDist,TotalDist,MeanSpeed,MaxSpeed,MeanFreeze,FreqFreeze,TimeFreeze,PercFreeze,Freq5cm,Time5cm,Freq40cm,Time40cm,FreqNear,TimeNear,FreqMid,TimeMid,FreqFar,PercFar
1,3-6,S1,Neg,Pred,Arena 1,166,M,Blu.Red,18.653,2,2.3,Tuesday,5,DTNG02,Trial     6,0.62484,1405.89,7.8107,17.2322,-,0,0,0,17,29.4393,11,10.9597,18,103.117,31,39.679,13,37.1991
1,3-6,S1,Neg,Pred,Arena 1,168,M,Pin.Pur,17.859,2,2.3,Tuesday,5,DTNG04,Trial    12,0.560038,1260.09,7.00065,26.0991,0.079998,1,0.079998,0.00738825,15,37.4391,16,37.3591,10,77.1981,24,34.3991,15,68.3983
1,3-6,S1,Neg,Sil,Arena 1,200,F,Gre.Pur,19.535,1,4.3,Tuesday,1,DTNG01,Trial     5,0.283671,1276.52,7.09213,23.4272,-,0,0,0,42,120.234,0,0,8,171.391,7,8.59957,0,0
1,3-6,S1,Neg,Sil,Arena 1,203,F,Gre.Ora,19.1,1,4.3,Tuesday,1,DTNG02,Trial     7,0.246951,1111.28,6.17407,20.2992,-,0,0,0,0,0,47,81.9959,0,0,7,4.87976,8,175.111
1,3-6,S1,Pos,zf,Arena 1,261,F,Red.Blu,19.1,1,3.4,Thursday,1,g0093,Trial    25,0.303233,682.275,3.79051,16.1488,0.079998,3,0.239994,0.0221943,18,154.956,0,0,3,178.236,2,1.75996,0,0
1,3-6,S1,Pos,zf,Arena 1,264,M,Pin.Yel,17.39,2,1.4,Thursday,5,g0093,Trial    26,0.28111,1264.99,7.0281,20.458,-,0,0,0,19,85.4357,10,26.7587,10,120.474,15,15.9592,5,43.5578
1,3-6,S1,Pos,zf,Arena 1,267,M,Blu.Red,16.304,2,1.4,Thursday,5,g0094,Trial    30,0.203515,915.819,5.08814,16.5387,0.039998,1,0.039998,0.00369194,40,87.4756,0,0,10,173.351,9,6.63967,0,0
1,3-6,S1,Pos,zf,Arena 1,6521,M,Bro.Whi,16.015,2,1.4,Thursday,5,g0095,Trial    34,0.348313,1567.41,8.70826,28.7303,-,0,0,0,1,49.9975,27,33.8783,1,50.3975,23,36.6782,23,92.9154
1,9-12,S2,Pos,zf,Arena 1,9,F,Yel.Bro,18.743,1,4.3,Tuesday,1,DTNG01,Trial     3,0.133931,602.69,3.34844,14.4218,0.079996,4,0.319984,0.0295628,8,166.632,0,0,3,178.791,2,1.19994,0,0
1,9-12,S2,Pos,zf,Arena 1,10,F,Gre.Yel,17.262,1,4.3,Tuesday,1,DTNG01,Trial     1,0.243,1093.5,6.07531,27.2181,0.039998,1,0.039998,0.00369699,12,157.632,4,4.63977,1,166.152,2,2.67987,2,11.1594
1,9-12,S2,Pos,zf,Arena 1,13,M,Bro.Pin,17.584,2,2.3,Tuesday,5,DTNG01,Trial     4,0.352098,792.221,4.40134,12.811,0.239994,2,0.479988,0.0438821,22,146.396,0,0,2,178.796,1,1.19997,0,0
1,9-12,S2,Pos,zf,Arena 1,15,M,Pin._,17.115,2,2.3,Tuesday,5,DTNG01,Trial     2,0.241574,543.541,3.01975,11.8598,0.079998,6,0.479988,0.0443099,7,163.036,0,0,1,178.716,1,1.27997,0,0
1,9-12,S2,Pos,zf,Arena 1,19,F,_.Pin,18.033,1,4.3,Tuesday,1,DTNG02,Trial    11,0.160053,720.237,4.00151,20.689,0.0719964,5,0.359982,0.0332582,10,162.032,3,3.71981,1,170.191,1,0.879956,1,8.91955
1,9-12,S2,Pos,zf,Arena 1,24,F,_.Pur,18.46,1,4.3,Tuesday,1,DTNG02,Trial     9,0.17539,789.255,4.38497,19.1981,0.0499975,4,0.19999,0.0184768,5,170.711,1,1.39993,1,176.151,1,1.79991,1,2.0399
1,9-12,S2,Pos,zf,Arena 1,28,M,Ora.Red,14.493,2,2.3,Tuesday,5,DTNG02,Trial     8,0.298205,670.962,3.72766,11.7067,0.079998,4,0.319992,0.0295138,7,164.956,0,0,1,178.876,2,1.11997,0,0
1,9-12,S2,Pos,zf,Arena 1,31,F,Blu.Gre,17.805,2,2.3,Tuesday,5,DTNG03,Trial    18,0.252531,568.194,3.15671,9.99344,0.159996,1,0.159996,0.0148028,14,161.196,0,0,1,179.995,0,0,0,0
1,9-12,S2,Pos,zf,Arena 1,35,F,Yel.Pin,20.803,2,2.3,Tuesday,5,DTNG03,Trial    16,0.190433,428.473,2.38047,17.2811,96.8776,1,96.8776,8.95909,11,51.5987,0,0,6,75.9181,6,104.077,0,0
1,9-12,S2,Pos,zf,Arena 1,39,F,Red.Pin,23.218,1,4.3,Tuesday,1,DTNG03,Trial    13,0.140117,630.528,3.50311,11.2269,0.039998,5,0.19999,0.0183999,10,162.992,0,0,2,179.311,1,0.679966,0,0
1,9-12,S2,Pos,zf,Arena 1,44,M,_.Bro,16.588,2,2.3,Tuesday,5,DTNG03,Trial    10,0.300113,675.255,3.75151,9.9773,0.639984,2,1.27997,0.118317,20,142.316,0,0,2,179.196,1,0.79998,0,0
1,9-12,S2,Pos,zf,Arena 1,47,F,_._,26.507,2,2.3,Tuesday,5,DTNG04,Trial    22,0.275222,619.249,3.44036,12.2459,0.079998,7,0.559986,0.0517866,6,169.836,0,0,2,179.436,1,0.559986,0,0
1,9-12,S2,Pos,zf,Arena 1,50,F,Ora.Pur,19.984,2,2.3,Tuesday,5,DTNG04,Trial    20,0.286505,644.637,3.58141,14.6655,0.114283,7,0.79998,0.0739481,15,156.556,1,0.39999,1,175.196,1,1.51996,1,3.27992
1,9-12,S2,Pos,zf,Arena 1,55,M,Yel.Whi,17.853,2,2.3,Tuesday,5,DTNG04,Trial    14,0.0686204,154.396,0.857776,16.1642,76.7981,2,153.596,14.198,0,0,1,0.719982,0,0,3,5.83985,4,174.156
1,9-12,S2,Pos,zf,Arena 1,68,M,Red.Blu,20.15,1,4.3,Tuesday,1,DTNG05,Trial    15,0.296927,1336.17,7.42354,26.5613,0.039998,1,0.039998,0.00367498,20,133.353,11,8.55957,2,149.913,6,5.07975,4,24.9987
1,9-12,S2,Pos,zf,Arena 1,69,M,Red.Bro,17.193,1,4.3,Tuesday,1,DTNG05,Trial    17,0.20099,904.456,5.02501,32.874,7.37741,9,66.3967,6.13429,28,64.6368,0,0,2,179.631,1,0.359982,0,0
1,9-12,S2,Pos,zf,Arena 1,74,M,Gre.Ora,15.808,1,4.3,Tuesday,1,DTNG06,Trial    21,0.153864,692.387,3.84679,15.6989,0.154278,7,1.07995,0.0996825,8,174.031,0,0,1,179.991,0,0,0,0
1,9-12,S2,Pos,zf,Arena 1,79,M,Bro.Whi,19.474,1,4.3,Tuesday,1,DTNG06,Trial    19,0.239985,1079.93,5.99991,15.0436,-,0,0,0,16,157.992,0,0,4,178.511,3,1.47993,0,0
1,9-12,S2,Neg,Dot,Arena 1,81,F,Pin.Pin,15.45,2,1.4,Thursday,5,g0096,Trial    40,0.315325,1418.96,7.88353,65.7091,-,0,0,0,16,42.5179,9,22.5989,14,94.4753,28,38.1981,15,47.3176
1,9-12,S2,Neg,Dot,Arena 1,91,F,Red.Yel,18.537,2,1.4,Thursday,5,g0096,Trial    42,0.439629,1978.33,10.9913,56.6206,-,0,0,0,14,14.5193,31,32.5184,19,52.3574,39,51.6374,21,75.9962
1,9-12,S2,Neg,Snake,Arena 1,95,M,Yel.Pin,17.039,1,3.4,Thursday,1,g0096,Trial    39,0.421908,949.293,5.27398,21.6306,0.0959976,5,0.479988,0.0443885,6,8.31979,15,117.997,5,19.3595,10,14.6396,6,145.996
1,9-12,S2,Neg,Snake,Arena 1,102,M,Bla.Bla,19.193,1,3.4,Thursday,1,g0096,Trial    41,0.594323,1337.23,7.42923,23.9473,-,0,0,0,8,24.7994,21,32.0792,7,41.599,27,53.8387,20,84.5579
1,9-12,S2,Neg,Snake,Arena 1,104,M,Pur.Blu,16.111,1,3.4,Thursday,1,g0095,Trial    35,0.379491,853.855,4.74376,12.5191,-,0,0,0,18,45.3589,4,8.63978,11,119.197,16,35.9191,5,24.8794
1,9-12,S2,Neg,Snake,Arena 1,114,F,Pur.Red,17.987,1,3.4,Thursday,1,g0095,Trial    33,0.493614,1110.63,6.17033,16.3652,-,0,0,0,40,70.4782,0,0,18,164.076,18,15.9196,0,0
1,9-12,S2,Neg,Dot,Arena 1,115,F,Gre.Bla,18.496,2,1.4,Thursday,5,g0095,Trial    38,0.456682,2055.07,11.4176,66.1524,0.039998,2,0.079996,0.00699325,0,0,33,108.115,2,1.27994,27,27.2786,25,151.432
1,9-12,S2,Neg,Dot,Arena 1,116,F,Pur.Yel,16.9,2,1.4,Thursday,5,g0095,Trial    36,0.382464,1721.09,9.56208,38.4404,-,0,0,0,34,51.9974,9,12.6394,21,99.715,33,44.7978,12,35.4782
1,9-12,S2,Neg,Snake,Arena 1,119,M,Pur.Pur,19.01,1,3.4,Thursday,1,g0095,Trial    37,0.499476,1123.82,6.24361,24.3349,0.359991,2,0.719982,0.0665828,22,84.7979,10,10.7197,12,123.597,20,24.4794,9,31.9192
1,9-12,S2,Neg,Dot,Arena 1,123,M,_.Red,14.15,2,1.4,Thursday,5,g0094,Trial    28,0.398875,1794.94,9.97237,41.8843,-,0,0,0,18,19.479,11,6.63967,18,64.2368,45,59.037,28,56.7172
1,9-12,S2,Neg,Dot,Arena 1,132,M,Bro.Whi,17.575,2,1.4,Thursday,5,g0094,Trial    32,0.367067,1651.8,9.17713,36.4728,-,0,0,0,57,81.7959,0,0,14,171.711,13,8.27959,0,0
